FIPS,EP_POV150,EP_AFAM,EP_HISP,EP_ASIAN,RISK_SCORE,HWAV_RISKS
8109,31.5,1.1,35.9,0.1,7.858733694,0.0
8111,26.5,0.0,24.0,0.0,7.731466752,0.0
8113,19.0,0.0,10.9,1.4,25.32612154,22.8762329
8115,28.1,0.4,19.1,0.5,26.34425708,0.0
8117,15.0,0.2,14.4,0.9,29.78046452,0.0
8119,15.5,0.7,7.0,0.2,61.97900095,0.0
8121,22.2,1.0,10.5,0.4,8.876869233,0.0
8123,17.8,1.1,29.6,1.6,89.24594337,0.0
8125,21.3,0.4,23.9,0.0,63.28348711,0.0
9001,14.4,10.6,20.0,5.3,95.45020681,84.79160038
9003,17.4,12.8,18.4,5.5,91.47311486,90.20044543
9005,11.9,1.5,6.6,1.9,82.50079542,28.31689469
9007,11.6,4.9,6.4,3.2,78.36461979,30.48043271
9009,18.1,12.5,18.6,4.0,94.46388801,58.82914413
9011,15.1,5.2,11.1,4.0,87.36875597,35.0302259
9013,12.9,2.8,5.7,4.7,67.06967865,30.79860006
9015,18.0,2.0,12.2,1.4,69.51956729,29.04867961
10001,21.8,25.0,7.3,2.1,84.75978365,93.79573656
10003,16.6,24.7,10.2,5.7,90.77314668,97.45466115
10005,18.7,11.2,9.2,1.2,92.9366847,96.05472479
11001,21.3,44.5,11.1,4.0,91.56856507,97.64556157
12001,30.1,19.8,10.2,6.0,93.82755329,0.0
12003,21.9,14.3,2.7,0.2,46.77060134,0.0
12005,21.5,10.6,6.6,2.2,97.48647789,53.00668151
12007,32.4,20.3,4.3,0.7,70.21953548,0.0
12009,19.5,9.3,10.6,2.3,99.36366529,0.0
12011,21.8,27.6,30.2,3.5,99.74546612,0.0
12013,29.7,13.3,6.0,0.2,68.53324849,43.04804327
12015,20.1,5.3,7.5,1.3,96.59560929,0.0
12017,24.6,2.6,5.9,1.7,95.89564111,0.0
12019,17.4,10.5,10.2,2.7,88.76869233,0.0
12021,18.8,6.7,28.0,1.5,98.85459752,0.0
12023,27.2,17.9,6.4,1.0,84.95068406,0.0
12027,41.4,12.0,31.5,0.4,90.42316258,0.0
12029,28.8,8.2,4.2,0.2,67.86509704,17.7855552
12031,23.9,29.1,10.2,4.6,97.83646198,0.0
12033,23.6,21.8,5.8,3.0,97.86827871,77.28285078
12035,20.4,9.7,10.6,2.5,88.35507477,0.0
12037,34.9,13.5,5.6,0.3,70.66496977,45.14794782
12039,32.7,55.3,10.4,0.2,80.05090678,66.87877824
12041,29.7,5.3,6.0,0.2,49.0614063,0.0
12043,31.0,13.0,21.2,0.7,74.99204582,0.0
12045,20.9,14.7,4.5,0.6,76.26471524,45.21158129
12047,38.0,33.5,9.8,0.3,65.06522431,0.0
12049,40.8,6.2,43.9,1.2,80.27362393,0.0
12051,40.1,10.9,54.3,0.9,91.1549475,0.0
12053,24.4,4.8,14.1,1.2,95.54565702,0.0
12055,28.6,9.3,20.4,1.5,90.29589564,0.0
12057,22.9,15.5,29.1,4.1,99.5545657,0.0
12059,35.8,6.9,3.0,0.7,83.2007636,23.35348393
12061,19.6,8.3,12.5,1.4,97.07286032,0.0
12063,29.7,26.3,4.9,0.5,85.80973592,63.44257079
12065,27.2,33.4,4.2,0.4,49.69774101,34.77569201
12067,37.6,15.7,16.2,0.0,52.08399618,0.0
12069,20.8,10.1,16.1,2.0,95.22748966,0.0
12071,20.3,7.9,21.9,1.6,99.49093223,0.0
12073,27.4,30.9,6.6,3.6,94.55933821,90.614063
12075,31.9,8.2,8.6,0.9,83.26439707,0.0
12077,30.7,13.7,4.6,0.4,40.56633789,28.88959593
12079,41.0,37.3,5.9,0.6,70.34680242,40.62997136
12081,21.3,8.3,16.4,2.1,98.44097996,0.0
12083,26.6,12.3,13.7,1.4,96.2456252,0.0
12085,17.4,5.2,13.7,1.4,96.53197582,0.0
12086,27.8,15.6,68.1,1.5,99.80909959,0.0
12087,17.7,7.0,24.6,1.2,95.92745784,0.0
12089,14.4,5.6,4.5,1.0,83.07349666,18.99459115
12091,19.0,9.5,9.5,3.1,97.42284442,67.76964683
12093,29.3,8.1,25.8,0.9,87.59147311,0.0
12095,24.4,19.7,32.1,5.2,98.5682469,0.0
12097,25.1,8.9,54.7,2.6,95.13203945,0.0
12099,20.2,18.2,22.6,2.7,99.71364938,0.0
12101,21.7,5.5,15.9,2.6,99.04549793,0.0
12103,20.1,10.0,9.9,3.4,99.20458161,0.0
12105,26.4,14.6,23.5,1.7,98.02736239,0.0
12107,38.9,16.1,10.1,0.6,90.1686287,0.0
12109,12.5,5.3,7.3,2.7,94.14572065,0.0
12111,23.4,19.6,19.3,2.0,98.31371301,0.0
12113,17.5,5.9,5.8,1.8,95.51384028,66.33789373
12115,15.6,4.3,9.4,1.8,98.40916322,0.0
12117,16.7,11.1,21.9,4.7,95.64110722,0.0
12119,15.6,6.8,5.8,0.9,88.92777601,0.0
12121,25.1,13.2,9.6,0.3,82.15081133,0.0
12123,29.0,21.7,4.2,0.3,74.00572701,20.93541203
12125,29.0,20.0,5.7,0.5,43.07986001,0.0
12127,22.5,10.4,14.5,1.8,97.51829462,0.0
12129,16.9,13.6,3.9,0.5,68.59688196,49.9522749
12131,18.5,4.6,6.3,0.7,94.68660515,33.98027362
12133,37.8,14.8,3.9,0.7,87.71874006,26.24880687
13001,37.3,19.7,10.0,0.0,72.31944003,48.39325485
13003,44.9,15.5,26.0,0.0,41.13903913,38.65733376
13005,39.3,16.4,8.4,0.5,48.74323894,42.44352529
13007,39.2,38.0,4.6,5.7,10.7222399,24.46706968
13009,31.9,41.8,2.4,1.8,42.15717467,62.96531976
13011,26.0,2.2,7.0,1.1,19.91727649,0.0
13013,20.6,12.0,11.5,3.9,54.6929685,79.98727331
13015,22.4,9.8,8.9,0.9,73.52847598,0.0
13017,42.8,36.9,6.2,0.6,41.52083996,39.00731785
13019,34.9,10.0,5.3,1.0,54.08845052,38.81641744
13021,34.9,54.2,3.4,2.0,76.42379892,87.87782374
13023,31.4,28.2,3.2,0.1,15.9083678,59.24276169
13025,37.0,3.3,2.3,0.9,57.4610245,46.32516704
13027,37.7,35.5,5.9,0.6,52.3703468,38.37098314
13029,15.2,14.0,7.5,1.3,87.52783964,62.23353484
13031,33.1,27.9,4.2,1.3,89.21412663,81.25994273
13033,30.7,47.3,3.2,0.5,58.38370983,58.67006045
13035,31.2,28.2,3.4,0.5,16.60833598,31.3713013
13037,40.9,60.2,5.0,0.9,25.96245625,31.11676742
13039,24.8,17.8,7.0,1.7,85.30066815,49.15685651
13043,39.4,24.9,11.7,0.6,40.18453707,55.04295259
13045,25.8,19.4,7.0,0.8,76.64651607,0.0
13047,18.2,2.0,3.0,1.4,62.16990137,0.0
13049,38.5,26.0,7.2,1.1,56.63378937,31.91218581
13051,23.8,39.7,6.5,2.7,98.6636971,94.87750557
13053,35.9,20.3,16.2,2.4,3.308940503,36.78014636
13055,36.0,9.6,5.3,0.4,54.72478524,0.0
13057,13.1,6.6,10.7,1.9,82.6598791,0.0
13059,39.1,28.0,10.8,3.9,67.7378301,70.02863506
13061,44.9,55.7,0.3,1.1,14.28571429,23.7671015
13063,31.1,68.8,13.2,5.1,86.47788737,0.0
13065,50.6,25.2,6.0,0.0,35.9210945,31.33948457
13067,15.5,26.8,13.0,5.4,92.20489978,0.0
13069,34.2,28.6,11.7,0.7,77.34648425,63.69710468
13071,39.9,23.4,19.4,0.8,81.51447661,63.50620426
13073,12.3,16.7,6.9,4.0,76.45561565,75.21476297
13075,35.5,27.3,5.8,0.9,60.03818008,39.83455297
13077,15.4,17.4,7.1,2.0,67.64237989,0.0
13079,27.0,22.1,3.5,0.1,7.190582246,44.16162902
13081,46.9,45.8,3.5,0.1,61.11994909,74.03754375
13083,24.6,0.9,2.3,0.7,33.85300668,0.0
13085,14.1,0.7,4.9,0.7,24.81705377,0.0
13087,35.1,41.7,6.2,0.7,80.7826917,49.41139039
13089,23.5,52.8,8.4,6.1,89.62774419,0.0
13091,34.3,29.8,3.7,0.3,32.2621699,72.44670697
13093,29.4,49.4,7.0,0.0,37.09831371,63.76073815
13095,40.1,69.3,2.9,0.9,79.51002227,72.16035635
13097,20.6,46.8,9.9,1.7,75.08749602,0.0
13099,43.4,50.2,2.3,0.5,59.40184537,38.46643334
13101,30.3,3.5,28.1,0.0,4.263442571,24.21253579
13103,16.1,13.4,4.7,0.7,79.16003818,80.05090678
13105,36.7,29.3,5.8,0.6,28.44416163,45.87973274
13107,39.5,33.4,4.6,0.2,58.51097677,71.14222081
13109,38.7,28.5,11.8,0.9,63.85618836,42.47534203
13111,26.6,0.2,2.5,0.3,39.230035,0.0
13113,9.9,23.4,7.3,4.3,68.78778237,0.0
13115,29.2,13.7,11.3,1.2,78.65097041,0.0
13117,8.2,3.4,9.4,14.2,81.16449252,0.0
13119,29.4,8.9,4.9,1.2,28.85777919,0.0
13121,21.1,43.1,7.2,7.3,92.30034998,0.0
13123,25.9,0.2,11.7,0.3,61.46993318,0.0
13125,29.0,9.7,1.6,0.0,3.372573974,25.89882278
13127,24.3,25.2,6.6,1.5,90.80496341,71.77855552
13129,28.5,3.8,16.1,1.1,65.98790964,0.0
13131,30.7,28.8,11.4,0.6,77.1237671,46.89786828
13133,27.4,34.4,6.1,1.1,22.4307986,41.32993955
